run_id,distance_home_m,relative_altitude_m,planned_rtl_climb_m,route_bearing_sin,route_bearing_cos,battery_voltage_v,voltage_mean_v,voltage_min_v,voltage_std_v,ekf_wind_north_m_s,ekf_wind_east_m_s,ekf_wind_north_mean_m_s,ekf_wind_north_std_m_s,ekf_wind_east_mean_m_s,ekf_wind_east_std_m_s,rtl_charge_mah
pipeline-0013-run-001,649.79867791317,39.23053741455078,0.0,-0.5684408785408671,-0.8227241139067744,12.274807929992676,12.276074781417847,12.274102210998535,0.002465477919409,-4.71,-3.82,-4.6386,0.0337348484508231,-3.8492,0.0156,1064.1130859375
pipeline-0014-run-001,586.6693723696337,39.85540771484375,0.0,-0.9543521215276418,0.298683826371113,12.236124038696287,12.234772176742554,12.22551441192627,0.0029862434233052,-0.58,-0.31,-0.5651999999999999,0.0157149610244505,-0.2269,0.0492482486998268,1162.770122433497
pipeline-0016-run-001,694.3054093537394,103.6357650756836,0.0,-0.99002832151745,0.1408684584757715,12.21526336669922,12.21509955406189,12.20956039428711,0.0015079891097848,4.88,-2.37,4.8917,0.0264973583589005,-2.2267,0.1080560502702185,1766.4212768554687
pipeline-0017-run-001,1194.649510037971,88.34662628173828,0.0,0.783406745251378,0.6215093494828879,12.267455101013184,12.265314617156982,12.25333023071289,0.0039918872729441,-3.46,0.22,-3.4778,0.0154,0.274,0.0387814388593306,2036.9288635253904
pipeline-0019-run-001,538.8505812570617,76.09464263916016,0.0,-0.790420674954291,0.612564410168272,12.287909507751465,12.286627283096314,12.277360916137695,0.0027462785490078,2.08,1.51,2.154,0.0514003891035856,1.5204,0.0178840711248865,1169.7696411132813
pipeline-0021-run-001,215.8927421526641,30.63016700744629,0.0,0.8840633888828489,0.4673670125682522,12.221163749694824,12.219660444259643,12.210796356201172,0.0028825275886028,-0.38,0.73,-0.5032,0.0820594906150409,0.6358,0.0517335481095198,738.3103454589843
pipeline-0022-run-001,1082.7897254888571,52.65314102172852,0.0,-0.3218212585457818,-0.9468004423045064,12.258091926574709,12.255855016708374,12.242486000061035,0.0045376691718842,0.78,5.37,0.7676000000000001,0.0149746452378679,5.3725,0.0088741196746493,1862.648468017578
pipeline-0023-run-001,796.200877641612,108.65328216552734,0.0,-0.9575828991609686,-0.2881579275926209,12.224486351013184,12.221395616531373,12.204246520996094,0.0058627517270044,0.97,4.65,1.0435,0.049403947210724,4.7684,0.0810027160038475,2285.75244140625
pipeline-0024-run-001,1353.9411360429156,88.27550506591797,0.0,-0.8796881849596601,-0.475550940743869,12.293214797973633,12.292992477416991,12.286720275878906,0.0016586605201321,-1.81,-1.97,-1.8067,0.0056665686266028,-2.0044,0.0300772339153719,1902.9769653320316
pipeline-0026-run-001,390.74633260364726,34.85356521606445,0.0,0.6972128127065935,-0.7168642087576701,12.233268737792969,12.23109742164612,12.217812538146973,0.0045020428842375,0.49,-2.42,0.5215,0.0162095650774473,-2.5135,0.063093185051953,954.6257873535156
pipeline-0028-run-001,272.1767514460521,34.12718963623047,0.0,0.7789300581539671,-0.6271108071977851,12.22611141204834,12.223702669143677,12.210134506225586,0.0047392813755661,4.52,0.96,4.5734,0.0223257698635455,0.9012,0.0386077712384436,836.2062866210938
pipeline-0029-run-001,501.4531796075597,40.19615173339844,0.0,-0.5095216799292189,0.860457818653597,12.257712364196776,12.2564999294281,12.2484712600708,0.0025093415146387,1.35,0.75,1.3297,0.0069935684739623,0.8368000000000001,0.0604463398395634,1010.2629943847656
pipeline-0030-run-001,636.4752982959275,100.41160583496094,0.0,0.5270520762385299,0.8498329888470174,12.253351211547852,12.251972923278808,12.241470336914062,0.003063431965489,1.9,-3.69,1.8796,0.0138506317545445,-3.6766,0.0197595546508518,1550.9964904785156
pipeline-0034-run-001,472.4444046818848,63.74824142456055,0.0,0.993311875007091,-0.1154621971465,12.274237632751465,12.272828578948976,12.26226043701172,0.0032741533422417,-1.83,-1.0,-1.8845,0.0503661592738616,-0.9854,0.0097385830591518,1089.7974014282229
pipeline-0037-run-001,1174.8685703309134,40.86432266235352,0.0,-0.1086526471852726,-0.9940797766073064,12.234838485717772,12.232933130264282,12.22198486328125,0.0036470736752966,1.12,-2.7,1.1921,0.0475035788125484,-2.729,0.0278747197295326,1826.6234405517575
pipeline-0038-run-001,917.3076149724076,99.8694839477539,0.0,0.2266845881439913,0.9739682220165036,12.309568405151367,12.3093905544281,12.304855346679688,0.0011933549722886,2.08,4.54,2.1168,0.0291849276168367,4.6597,0.0811228081367996,1506.641516113281
pipeline-0039-run-001,1406.7265497191647,89.6102523803711,0.0,-0.1275434426001705,0.9918329850583196,12.247376441955566,12.247774887084962,12.244741439819336,0.0012472381537193,3.11,-4.74,3.0524,0.0412097075942064,-4.7267,0.0104933312155865,2230.803985595703
pipeline-0040-run-001,802.4802337515462,45.259239196777344,0.0,0.878921738022167,0.4769660139172322,12.2883939743042,12.285774946212769,12.272500991821287,0.0047932597111832,-0.38,-4.46,-0.299,0.0540462764674866,-4.3141,0.1125263969031267,1505.2078018188477
pipeline-0042-run-001,895.1059296716201,81.44508361816406,0.0,0.5625542945505732,-0.8267603435595511,12.288196563720703,12.286224193572998,12.273958206176758,0.004174163952405,0.98,-3.75,0.8556,0.090965048232824,-3.7041,0.0249036141955339,1687.0541015625
pipeline-0043-run-001,931.037705244849,42.02675247192383,0.0,-0.6580201178492854,0.7530003482772186,12.250755310058594,12.249687700271606,12.242297172546388,0.0023261616736087,0.06,-1.8,0.0181,0.0186384012189887,-1.7293,0.0445702815786483,1466.9019287109377
pipeline-0045-run-001,447.6561016769293,84.11389923095703,0.0,-0.9796920512617708,0.2005080664075729,12.26124095916748,12.259622201919557,12.247748374938965,0.0035277397096013,-0.18,1.23,-0.1406,0.033906341589738,1.2353999999999998,0.0057306195127577,1231.3746032714844
pipeline-0046-run-001,867.0783209498142,106.572509765625,0.0,-0.3267570734544677,0.9451083614842648,12.251839637756348,12.249418869018555,12.235316276550291,0.0046386461753666,-1.72,4.51,-1.7215,0.0115217186218029,4.5839,0.0536450370491065,1986.9207794189456
pipeline-0048-run-001,543.3667123742604,100.90315246582033,0.0,-0.6722756989142148,0.7403008744081043,12.299853324890137,12.298734273910522,12.2899169921875,0.0025308401012744,2.87,2.99,2.9591000000000003,0.0629459291773502,3.0010000000000003,0.0229564805664979,1269.1198974609374
pipeline-0049-run-001,1153.740122959934,116.90431213378906,0.0,0.6774220773015972,-0.7355945412959429,12.21843433380127,12.217076063156128,12.2066650390625,0.003146883323431,-0.48,-0.82,-0.4204,0.0269414179285352,-0.9115,0.0607515431902762,2369.012377929688
pipeline-0050-run-001,1110.8669246285665,106.84103393554688,0.0,-0.8447938555375375,0.5350919001872692,12.226245880126951,12.22605941772461,12.219565391540527,0.0016822595036944,-2.0,-4.48,-2.0472,0.0336178524001757,-4.3752,0.0716167578154722,2176.594189453125
pipeline-0051-run-001,1325.1539137633126,113.5829849243164,0.0,0.9067197405608192,0.4217336980575782,12.23058795928955,12.228853797912596,12.217432022094728,0.0036193739352538,-0.55,-0.77,-0.6145,0.040825849654355,-0.8351999999999999,0.0339552646875267,2483.124011230469
pipeline-0052-run-001,338.3535062085141,44.88640213012695,0.0,-0.99364808999011,-0.1125320987941048,12.274211883544922,12.2729714012146,12.264230728149414,0.002724310365792,-1.31,-0.16,-1.27,0.0356089876295297,-0.1714,0.0117490425141796,839.8194976806641
pipeline-0053-run-001,1480.8756459070098,72.39053344726562,0.0,-0.9493221168267932,0.3143048178178247,12.289972305297852,12.288618669509887,12.279718399047852,0.0027793660481535,4.16,1.51,4.2117,0.0400013749763679,1.4835999999999998,0.0122081939696254,2040.376501464844
pipeline-0055-run-001,789.0538281562037,48.00083541870117,0.0,0.9154119013965776,-0.4025183856440631,12.239066123962402,12.239581022262572,12.235857963562012,0.0017293723903109,-0.88,3.87,-0.8386999999999999,0.017530259553127,3.7313,0.0881550338891659,1388.9899353027345
pipeline-0057-run-001,719.7678222126286,97.57557678222656,0.0,0.2144789698441838,0.9767286068783784,12.286449432373049,12.285366945266723,12.276844024658203,0.0024098144445809,0.03,3.21,0.0346,0.0049839743177508,3.2738,0.0558351143994529,1454.6990173339843
